id_municipio,nome_municipio,capital,regiao_metropolitana,sigla_uf,nome_uf,domicilios,populacao,area,taxa_alfabetizacao,idade_mediana,razao_sexo,indice_envelhecimento,populacao_indigena,populacao_indigena_terra_indigena,populacao_quilombola,populacao_quilombola_territorio_quilombola
2202174,Campo Largo do Piauí,0,,PI,Piauí,2193,7419,478,71.802,28,105.29,30.66,2,0,945,97
4207684,Ipuaçu,0,Região Metropolitana do Extremo Oeste,SC,Santa Catarina,2528,7728,261,92.175,28,104.17,35.98,4263,4195,0,0
2805406,Poço Redondo,0,,SE,Sergipe,10755,33383,1220,73.394,28,102.32,28.92,12,0,707,610
1703891,Carrasco Bonito,0,,TO,Tocantins,1012,3318,190,79.246,28,106.73,32.08,4,0,0,0
1718659,Rio da Conceição,0,,TO,Tocantins,568,1751,846,89.466,28,101.14,30.19,0,0,0,0
1703073,Barra do Ouro,0,,TO,Tocantins,1363,4475,1106,84.018,28,110.34,36.45,18,0,0,0
1703305,Bom Jesus do Tocantins,0,,TO,Tocantins,1337,4037,1327,87.855,28,108.25,29.3,17,0,0,0
1707405,Esperantina,0,,TO,Tocantins,2317,7525,506,78.214,28,104.68,36.64,32,0,127,0
1200385,Plácido de Castro,0,,AC,Acre,5552,16540,1953,84.375,29,105.69,31.14,51,0,0,0
2707404,Porto de Pedras,0,,AL,Alagoas,2820,9227,257,77.924,29,100.8,26.28,8,0,0,0
2705101,Matriz de Camaragibe,0,,AL,Alagoas,7342,23771,238,7.666,29,94.4,30.97,418,393,136,0
2701605,Canapi,0,,AL,Alagoas,5047,15545,603,70.097,29,98.13,37.81,12,0,759,0
2700508,Barra de Santo Antônio,0,Região Metropolitana de Maceió,AL,Alagoas,5229,16307,131,78.705,29,97.41,28.52,8,0,0,0
2702108,Colônia Leopoldina,0,,AL,Alagoas,5176,15802,208,74.116,29,94.18,34.27,28,0,0,0
2705804,Olho d'Água do Casado,0,,AL,Alagoas,2600,8342,328,75.243,29,97.52,32.2,34,0,442,0
2706505,Passo de Camaragibe,0,,AL,Alagoas,4229,13791,251,76.249,29,100.41,30.48,39,0,1290,0
2704500,Maragogi,0,,AL,Alagoas,10035,31977,334,81.124,29,96.69,24.33,39,0,0,0
1300144,Apuí,0,,AM,Amazonas,5789,20528,54241,91.808,29,111.66,22.35,578,0,0,0
2902708,Barra,0,,BA,Bahia,15476,50967,11428,79.875,29,103.55,33.29,379,0,3156,322
2908606,Conde,0,,BA,Bahia,7680,23571,931,83.984,29,98.11,37.58,392,0,2417,0
2928901,São Desidério,0,,BA,Bahia,10440,32675,15157,82.124,29,105.78,28.81,176,0,0,0
2904050,Bonito,0,,BA,Bahia,5413,15800,791,86.019,29,99.97,29.65,281,0,7960,0
2912202,Ibicoara,0,,BA,Bahia,6808,20759,817,87.226,29,100.49,26.39,173,0,164,0
2911105,Formosa do Rio Preto,0,,BA,Bahia,8150,25805,15634,81.637,29,102.26,35.05,283,0,281,0
2922250,Muquém de São Francisco,0,,BA,Bahia,3368,10440,3852,81.007,29,111.4,35.56,298,153,2454,857
2930758,Sítio do Mato,0,,BA,Bahia,4006,13393,1628,83.869,29,105.68,31.67,4,0,1059,579
2307254,Jijoca de Jericoacoara,0,,CE,Ceará,8795,25472,209,85.743,29,99.09,27.28,21,0,0,0
2306108,Irauçuba,0,,CE,Ceará,7330,23909,1466,79.907,29,102.31,36.5,6,0,0,0
2311959,Salitre,0,,CE,Ceará,5367,16609,806,71.853,29,101.34,37.73,15,0,1802,230
2308906,Morrinhos,0,,CE,Ceará,7285,22732,412,78.092,29,101.89,38.31,78,0,676,0
2306553,Itarema,0,,CE,Ceará,12954,42901,715,81.738,29,103.87,32.71,5111,509,0,0
2300754,Amontada,0,,CE,Ceará,13230,42147,1175,80.229,29,106.09,36.87,57,0,0,0
5205471,Chapadão do Céu,0,,GO,Goiás,4286,12840,2184,96.217,29,104.94,14.05,34,0,0,0
5215231,Novo Gama,0,Região Integrada de Desenvolvimento do Distrito Federal e Entorno,GO,Goiás,34251,103562,192,93.947,29,96.83,24.57,259,0,0,0
5220009,São João d'Aliança,0,Região Integrada de Desenvolvimento do Distrito Federal e Entorno,GO,Goiás,4260,13526,3334,92.877,29,113.36,29.18,44,0,133,0
5219753,Santo Antônio do Descoberto,0,Região Integrada de Desenvolvimento do Distrito Federal e Entorno,GO,Goiás,24177,71867,944,93.092,29,97.64,25.69,264,0,0,0
2111532,São Pedro da Água Branca,0,Região Metropolitana do Sudoeste Maranhense,MA,Maranhão,3671,13404,720,80.543,29,103.79,31.41,10,0,0,0
2103505,Colinas,0,,MA,Maranhão,12482,40201,1979,78.288,29,95.31,33.78,121,0,1099,173
2103125,Central do Maranhão,0,,MA,Maranhão,2210,7082,320,79.255,29,107.43,37.12,21,0,3428,0
2107456,Olinda Nova do Maranhão,0,,MA,Maranhão,4161,13576,200,81.454,29,102.88,35.03,10,0,3528,21
2105450,Jatobá,0,,MA,Maranhão,2280,7458,592,77.637,29,102.25,33.74,1,0,0,0
